timestamp,comment-id,author-id,agrees,disagrees,moderated,is-meta,is-seed,group-informed-consensus,comment-body
1726860676783,2,0,57,0,1,false,true,0.6839080459770114,I hope it can retain its southern hospitality
1726860685220,3,0,56,1,1,false,true,0.49707602339181284,"I want BG to feel welcoming to all who come here, including those who may not feel welcome now
"
1726866816977,42,11,58,2,1,false,false,0.7107279693486589,BG should continue to focus on parks and quality of life.
1726868152996,81,31,51,0,1,false,false,0.6571428571428571,"Would like to see better road infrastructure around and inside town.As population increases, traffic increases creating delays & traffic jam"
1726871770604,120,13,42,2,1,false,false,0.5629629629629629,Let’s have more healthy food options and less greasy
1726949182393,153,26,35,5,1,false,false,0.3902439024390244,Develop US 31 bypass as a live shopping district by providing great walking experience.
1727192167166,186,65,23,2,1,false,false,0.2714285714285714,Church Street area of downtown/west end need to address sewage smell that is prominent especially after rainfall.
1727314691816,218,26,28,7,1,false,false,0.2923976608187134,Create commuter pool setup for daily commuters to Nashville to share a journey.
1727705798322,257,94,1,0,-1,false,false,0.3333333333333333,"The Kentucky Museum is a private 501c3, affiliated with WKU but financially self-sufficient & able to be the region's arts and history hub."
1727889268210,290,81,3,0,-1,false,false,0.4,restore historic buildings in downtown and not allow them to sit vacant and be a fire hazard
1727907983717,321,91,12,4,1,false,false,0.18333333333333335,Constitutional rights training should be required for all public servants.
1727925112672,352,0,16,4,1,false,false,0.25396825396825395,"In 2050, Bowling Green will be a distinctive, uniquely Kentucky part of greater Nashville with a distinctive national identity,"
1726860692623,4,0,57,3,1,false,true,0.5747126436781609,I hope that BG will have its own famous identity apart from Nashville
1726866829480,43,19,39,12,1,false,false,0.3642857142857143,Bowling Green has multiple effectively located food pantries open to those in need.
1726868228044,82,39,7,9,-1,false,false,0.08,I would like to see more high quality private education options for our children.
1726873340512,121,12,2,0,-1,false,false,0.0625,"There is one, and it’s free."
1726949223771,154,26,24,5,1,false,false,0.14035087719298245,Develop lover’s lane to be 5th avenue of the town
1727192297001,187,65,29,11,1,false,false,0.2363636363636364,"Scottsville Rd through mall area needs to be 6 lanes-3 on ea. side like hwy 27 in Somerset, KY to help bottlenecks due to light sequencing."
