participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
17,1,0,55,31,24,1,-1,-1,-1,1,-1,-1,1,1,1,-1,,1,-1,1,-1,1,1,-1,-1,1,1,,,-1,,,,,-1,-1,-1,-1,,-1,-1,,-1,1,1,1,1,,-1,-1,,1,,-1,,1,-1,,1,,-1,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,0,37,25,10,1,,,1,,,-1,1,,,,,,,1,,1,,1,,-1,-1,,,,,,,,-1,,,1,,-1,,,,,1,1,,,-1,0,,1,,,,0,,,,,-1,,,,,,1,1,,1,,,,,,,1,,,,,,,-1,,,,,,1,,,1,,,1,,-1,,,,1,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,2,101,52,42,1,-1,-1,1,1,1,-1,1,1,-1,-1,,1,-1,1,-1,1,-1,-1,-1,-1,-1,,,-1,,,,,-1,-1,-1,-1,,-1,-1,,-1,1,1,1,1,,-1,-1,,1,,-1,,-1,1,,1,,-1,,,,1,,1,1,1,1,1,1,1,1,1,,1,-1,,,,,-1,-1,,1,,,,-1,,,1,,,1,,1,,1,,-1,,,,1,,,,0,,1,,,-1,,1,,,,,,,,1,-1,0,0,-1,,,1,,-1,,,,,-1,,1,,1,,1,1,1,,1,1,1,,,,,1,1,,1,-1,,1,1,,0,-1,0,-1,,-1,-1,,,,0,-1,-1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
24,1,0,66,35,16,1,,,-1,1,-1,0,1,1,0,-1,,1,,1,,1,0,-1,0,,1,,,0,,,,,,-1,,,,1,1,,,1,1,1,1,,-1,,,,,,,-1,-1,,1,,0,,,,,,,1,1,,1,,,1,0,,0,,,,,,1,1,,,,,,1,,,-1,,,1,,-1,,-1,,0,,,,1,,,,,,0,,,,,1,,,,,,,,1,,0,1,,,,1,,-1,,,,,,,1,,1,,,1,1,,,-1,1,,,,,1,,,1,0,,-1,,,0,-1,0,0,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,0,35,17,13,1,,,0,1,0,1,1,0,0,1,,1,-1,1,-1,1,1,-1,1,1,-1,,,-1,,,,,-1,-1,-1,1,,1,-1,,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
28,1,0,13,10,3,1,,,1,1,1,-1,1,1,1,1,,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,0,14,7,4,1,,,1,1,0,-1,1,1,0,-1,,0,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0,3,3,0,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0,3,3,0,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,60,17,7,0,,,0,0,1,0,0,1,0,0,,0,0,0,0,0,1,1,1,1,1,,,1,,,,,-1,-1,1,1,,1,1,,1,-1,1,1,-1,,-1,1,,-1,,0,,,,,0,,0,,,,,,,0,0,0,0,0,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,0,,,,,,0,,,,,,0,,,0,,,,,,,,,,0,-1,0,0,0,,,,,0,,,,,1,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,0,65,28,20,0,,,-1,1,0,-1,1,1,1,-1,,-1,-1,1,-1,1,0,-1,-1,1,0,,,1,,,,,-1,-1,-1,1,,1,-1,,1,-1,0,1,1,,-1,0,,0,,0,,-1,1,,0,,1,,,,-1,,1,1,-1,1,1,0,0,0,1,,0,0,,,,,1,1,,0,,,,0,,,1,,,0,,-1,,-1,,1,,,,1,,,,1,,1,,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0,15,8,3,-1,,,1,0,1,1,0,1,1,-1,,0,-1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,80,25,37,0,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,1,,,,,1,1,-1,1,,1,1,,-1,-1,-1,1,-1,,-1,1,,-1,,1,,1,1,,-1,,1,,,,1,,-1,-1,-1,1,1,-1,-1,-1,1,,-1,-1,,,,,1,1,,-1,,,,-1,,,-1,,,-1,,-1,,-1,,-1,,,,1,,,,-1,,-1,,,-1,,1,,,,,,,,1,-1,-1,1,-1,,,-1,,-1,,,,,-1,,-1,,1,,-1,-1,1,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,0,15,6,9,-1,,,1,-1,-1,-1,1,-1,-1,-1,,1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,0,38,22,15,1,,,-1,-1,-1,,-1,-1,1,-1,,-1,-1,1,-1,-1,1,,,,1,,,,,,,,-1,,1,,,1,,,,1,,1,,,,,,1,,,,1,,,,,1,,,,,,1,,1,1,,,1,,-1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,1,,,,,,-1,,,,,,,,,,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,0,6,3,3,1,,,,,,,,,,,,1,,-1,1,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,0,38,13,13,1,,,1,1,-1,0,0,0,0,1,,1,-1,1,0,1,0,-1,-1,-1,-1,,,-1,,,,,0,-1,-1,0,,0,-1,,0,1,1,1,0,,1,-1,,1,,-1,,-1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,64,46,17,-1,,,1,1,-1,1,1,1,1,-1,,1,1,-1,-1,1,1,1,1,-1,1,,,1,,,,,-1,-1,-1,1,,1,1,,1,1,1,1,1,,-1,1,,1,,-1,,-1,1,,1,,-1,,,,-1,,1,1,1,1,1,0,1,1,-1,,1,1,,,,,1,1,,1,,,,1,,,1,,,1,,-1,,1,,-1,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,0,53,30,19,1,,,1,1,1,-1,1,1,1,1,,-1,-1,-1,-1,1,0,-1,-1,-1,1,,,1,,,,,-1,-1,-1,-1,,1,-1,,-1,1,1,1,1,,1,-1,,1,,0,,-1,-1,,1,,-1,,,,1,,1,1,1,1,1,1,1,1,0,,0,1,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,0,15,10,4,1,,,-1,1,1,1,1,1,1,-1,,-1,1,-1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,1,39,15,15,1,,,1,1,-1,-1,1,1,1,-1,,1,-1,1,-1,1,1,-1,-1,-1,-1,,,1,,,,,-1,-1,-1,-1,,-1,-1,,1,1,1,0,0,,0,0,,0,,0,,0,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,0,15,11,4,1,,,1,1,1,1,1,1,1,-1,,-1,-1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,0,26,12,9,1,,,,1,-1,1,,1,,-1,,-1,0,1,-1,1,,,0,-1,,,,,,,,,0,-1,,-1,,1,0,,-1,1,1,1,1,,0,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,0,15,9,3,0,,,1,-1,1,1,1,1,1,0,,-1,1,1,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,0,10,5,4,-1,,,,,1,,,0,1,,,-1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,0,99,59,26,-1,,,-1,-1,1,1,1,1,1,-1,,1,-1,-1,-1,1,1,-1,-1,-1,-1,,,1,,,,,-1,-1,-1,1,,1,1,,1,1,1,1,1,,-1,-1,,1,,-1,,-1,1,,1,,1,,,,1,,1,1,1,1,1,0,1,1,-1,,0,-1,,,,,1,1,,1,,,,1,,,1,,,1,,-1,,1,,1,,,,1,,,,1,,1,,,1,,1,,,,,,,,1,0,0,1,-1,,,1,,1,,,,,-1,,1,,-1,,1,0,1,,1,1,1,,,,,0,0,,1,0,,-1,1,,0,0,1,0,,1,0,,,,1,0,-1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
70,0,0,19,13,6,1,,,-1,1,1,1,1,1,1,-1,,-1,-1,1,-1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,0,26,17,5,0,,,-1,-1,1,1,1,1,1,0,,-1,1,1,0,1,-1,1,1,1,1,,,1,,,,,0,-1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,0,26,22,3,1,,,1,-1,1,1,1,1,1,-1,,1,0,1,1,1,-1,1,1,1,1,,,1,,,,,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,1,21,10,0,0,,,0,0,1,0,0,1,1,0,,0,0,1,0,0,0,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,0,19,12,7,-1,,,-1,-1,1,1,1,1,1,-1,,-1,-1,1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,0,99,50,46,1,,,-1,-1,1,1,1,1,1,-1,,-1,-1,1,-1,1,-1,1,1,1,1,,,1,,,,,1,1,1,1,,1,1,,1,-1,1,1,1,,-1,1,,-1,,1,,1,1,,-1,,1,,,,1,,-1,-1,-1,1,-1,1,-1,-1,-1,,-1,1,,,,,1,1,,1,,,,-1,,,-1,,,-1,,-1,,1,,1,,,,1,,,,1,,-1,,,-1,,1,,,,,,,,-1,-1,-1,-1,-1,,,1,,-1,,,,,-1,,1,,-1,,-1,-1,1,,-1,-1,1,,,,,1,-1,,-1,-1,,-1,-1,,-1,0,0,-1,,1,1,,,,0,1,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,
77,0,0,19,12,7,1,,,-1,-1,1,1,1,1,1,-1,,-1,-1,1,-1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,0,99,50,41,1,,,-1,-1,1,1,1,1,1,-1,,-1,1,1,-1,1,-1,1,1,1,1,,,1,,,,,1,1,1,1,,1,1,,1,-1,-1,1,1,,-1,1,,-1,,1,,1,1,,-1,,1,,,,1,,0,-1,1,1,0,-1,0,-1,-1,,-1,-1,,,,,1,1,,1,,,,-1,,,-1,,,-1,,-1,,1,,1,,,,1,,,,1,,1,,,-1,,1,,,,,,,,-1,1,-1,1,-1,,,-1,,-1,,,,,-1,,0,,0,,-1,0,1,,-1,-1,1,,,,,1,-1,,-1,-1,,-1,-1,,-1,-1,0,-1,,1,1,,,,0,1,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,
82,0,0,66,36,30,-1,,,-1,-1,1,1,1,1,1,-1,,-1,1,1,1,1,-1,1,1,1,1,,,1,,,,,1,1,1,1,,1,1,,1,-1,-1,1,1,,-1,1,,-1,,1,,1,1,,-1,,1,,,,-1,,-1,-1,1,1,-1,-1,-1,1,-1,,-1,-1,,,,,1,1,,1,,,,-1,,,-1,,,-1,,-1,,-1,,-1,,,,-1,,,,1,,-1,,,-1,,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,0,61,34,27,-1,,,-1,-1,1,1,1,1,1,-1,,-1,1,1,-1,1,-1,1,1,1,1,,,1,,,,,1,1,1,1,,1,1,,1,-1,-1,1,1,,-1,1,,-1,,1,,1,1,,-1,,1,,,,1,,-1,-1,1,1,-1,-1,-1,-1,-1,,-1,-1,,,,,1,1,,1,,,,-1,,,-1,,,-1,,-1,,1,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,0,26,18,7,-1,,,-1,-1,1,1,1,1,0,-1,,-1,1,1,-1,1,-1,1,1,1,1,,,1,,,,,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,0,60,34,26,-1,,,-1,-1,1,1,1,1,1,-1,,-1,1,1,-1,1,-1,1,1,1,1,,,1,,,,,1,1,1,1,,1,1,,1,-1,-1,1,1,,-1,1,,-1,,1,,1,1,,-1,,1,,,,1,,-1,-1,1,1,-1,-1,-1,-1,-1,,-1,-1,,,,,1,1,,1,,,,-1,,,-1,,,-1,,-1,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,0,19,9,3,0,,,1,-1,1,1,0,1,1,0,,-1,0,0,0,0,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,2,101,69,30,1,,,1,-1,1,1,-1,1,1,-1,,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,,1,-1,1,1,1,,1,1,,-1,,1,,1,1,,-1,,1,,,,1,,1,-1,-1,1,1,-1,-1,1,-1,,-1,-1,,,,,1,1,,1,,,,-1,,,1,,,-1,,-1,,1,,1,,,,1,,,,1,,1,,,-1,,1,,,,,,,,-1,1,1,1,1,,,1,,-1,,,,,1,,-1,,-1,,1,-1,1,,1,-1,0,,,,,1,1,,-1,1,,-1,-1,,1,1,1,0,,1,1,,,,-1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,
