timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1651071094558,Wed Apr 27 07:51:34 PDT 2022,122,0,59,63,-1,"Für die Klimaneutralität sollen Zigaretten gar nicht mehr erzeugt werden, den schon bei der Herstellung +beim Rauchen selbst fällt CO2 an !"
1651401080922,Sun May 01 03:31:20 PDT 2022,386,756,18,9,-1,"Stopp das Konsumer-shaming - viele Menschen haben nicht die Möglichkeiten, sich klimafreundlich zu entscheiden. Die Politik muss handeln."
1651686969583,Wed May 04 10:56:09 PDT 2022,518,1024,1,0,-1,Verbot von Pendler über zu weite Anfahrtswege. Förderung kleiner kleiner Handwerksbetriebe und Versorger. Lokale Schienenbahnen für Lasten
1651697161337,Wed May 04 13:46:01 PDT 2022,521,1034,1,0,-1,"Transporte massiv besteuern und regionale Lebensmittel Produktion fördern, dann sind Äpfel im Supermarkt hoffentlich billiger als Bananen"
1651693681742,Wed May 04 12:48:01 PDT 2022,520,1028,17,11,1,Raumfahrt belastet die Umwelt - daher sollte die Forschung von der Raumfahrt auf die Probleme der Erde umgelenkt werden.
1651688609552,Wed May 04 11:23:29 PDT 2022,519,1025,1,0,-1,Die wahren Kosten der Produkte müssen kenntlich gemacht werden und diejenigen die es sich leisten können müssen den wahren Preis auch zahlen
1651685553581,Wed May 04 10:32:33 PDT 2022,517,1022,1,0,-1,Recycling: Alle Stoffströme müssen möglichst vollkommen geschlossen werden. Recyclingkosten trägt nur der Hersteller.
1651684592368,Wed May 04 10:16:32 PDT 2022,516,1021,1,0,-1,"Brauchen wir das alles?,  was hier herumkutschiert wird. Ist das alles so Lebensnotwendig?"
1651675418781,Wed May 04 07:43:38 PDT 2022,515,1012,1,0,-1,"Woher soll ich wissen, ob in diesem Sammelsurium meine Sichtweise vertreten ist oder nicht? Diese Umfrage ist total missglückt!"
1651674998780,Wed May 04 07:36:38 PDT 2022,514,1010,1,0,-1,"Luxusemissionen reicher Menschen durch SUVs, Vielfliegen, Yachten, Villen, etc. müssen massiv besteuert werden."
1651674991903,Wed May 04 07:36:31 PDT 2022,513,1013,24,7,1,"Kreuzfahrtschiffe dezimieren, od. abschaffen"
1651674962458,Wed May 04 07:36:02 PDT 2022,512,1013,1,0,-1,"Tiergesetz ändern, Tiere sollen nicht länger eine Sache sein"
1651674935101,Wed May 04 07:35:35 PDT 2022,511,1013,1,0,-1,Tiertransporte über längere Strecken (max. 100 km )abschaffen.
1651674115105,Wed May 04 07:21:55 PDT 2022,510,1009,1,0,-1,Auf Produkten angeben wie Klimaschädlich diese sind
1651674004044,Wed May 04 07:20:04 PDT 2022,509,997,1,0,-1,Klimafeindlichkeit digitaler Aktivitäten immer ausweisen. Bei jedem Surfen & Streamen Energieverbrauch und CO2Belastung blinkend anzeigen.
1651673789149,Wed May 04 07:16:29 PDT 2022,508,1009,1,0,-1,"Klimaschädliche Produkte müssen aus den Supermarkt-Regalen verschwinden,  bzw. deren Preise massiv erhöht."
1651672340692,Wed May 04 06:52:20 PDT 2022,507,1008,1,0,-1,"Tiere müssen in der Region geschlachtet werden, wo sie aufgewachsen sind."
1651671300251,Wed May 04 06:35:00 PDT 2022,506,997,1,0,-1,Europäische arbeitsrechtl. und ökologische Standards gelten weltweit: Sonst Importverbot! Lieferkettengesetz erlassen und kontrollieren.
1651670727609,Wed May 04 06:25:27 PDT 2022,505,1001,1,0,-1,"Höhere werbesteuern ja, aber nicht auf nachhaltig-ökologische produkte aller art. Im gegenteil niedrigere steuern."
1651669837940,Wed May 04 06:10:37 PDT 2022,504,1002,1,0,-1,Zigaretten höher besteuern - Kosten für das Entsorgen achtlos weggeworfener Stummel muss eingepreist werden
1651669025068,Wed May 04 05:57:05 PDT 2022,499,1002,1,0,-1,"in Gastronomie/Hotels Verbot von kleinen Päckchen mit Ketchup, Mayo, Marmelade etc - das ist nur Abzocke und macht unnötig Müll"
1651669639079,Wed May 04 06:07:19 PDT 2022,503,1002,1,0,-1,"Wasser ist ein Allgemeingut, damit sollte kein Gewinn gemacht werden dürfen (Mineralwasser)"
1651669313002,Wed May 04 06:01:53 PDT 2022,502,1000,1,0,-1,Unverpacktes Obst und Gemüse wirklich unverpackt anbieten und nicht zuvor aus Plastik rausholen (kl. Plastikfolienstücke bei Gurken)
1651669297563,Wed May 04 06:01:37 PDT 2022,501,1002,39,2,1,Verpflichtender Entsorgungshinweis auf Verpackungen - oft nicht erkennbar ob recycelbar oder nicht
1651669225346,Wed May 04 06:00:25 PDT 2022,500,1000,1,0,-1,Mehr Unverpackt-Läden/-stationen auch in kleineren Städten und diese dann aber nicht aus Plastiksäcken füllen!!
1651661656653,Wed May 04 03:54:16 PDT 2022,498,997,1,0,-1,"Strenges Lieferkettengesetz:Alle Teile eines Produkts müssen klimafreundlich,menschenrechtskonform und arbeitsrechtlich nach Ö-Standard sein"
1651661155853,Wed May 04 03:45:55 PDT 2022,497,996,1,0,-1,"Gratislieferservice für große Gegenstände (z.B. Möbel, Elektrogeräte, Gartenprodukte etc.). Alles was nicht mit einem Lastenfahrrad geht."
