timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1483908221702,Mon Jan 09 03:43:41 WIB 2017,161,282,5,4,1,MMP is simpler to explain than STV.
1483404737048,Tue Jan 03 07:52:17 WIB 2017,159,282,16,2,1,The Liberal party no longer supports meaningful electoral reform because they now have 55% of the seats with only 40% of the vote.
1483039164411,Fri Dec 30 02:19:24 WIB 2016,152,282,13,1,1,I have voted for a third-party candidate in a federal election.
1483026893056,Thu Dec 29 22:54:53 WIB 2016,148,282,17,1,1,I do not want my preferred party to have greater-than-proportional representation in parliament.
1482880437004,Wed Dec 28 06:13:57 WIB 2016,136,252,22,2,1,"Politically similar parties are pressured to merge by FPTP to gain proportional seats, such as the Conservative merger in 2003."
1481725560036,Wed Dec 14 21:26:00 WIB 2016,92,118,75,7,1,Our current electoral voting system can be improved in a way that can better represent Canada's diversity of opinions.
1481355350839,Sat Dec 10 14:35:50 WIB 2016,70,9,43,31,1,"I think we need to develop a proper national ""digital identity system"" before we can consider implementing online voting."
1481348726492,Sat Dec 10 12:45:26 WIB 2016,54,23,85,13,1,Ranked ballots provide real choices for voters if they are used in a proportional voting system.
1481349663898,Sat Dec 10 13:01:03 WIB 2016,57,23,69,14,1,MPs in multi-member proportional ridings are more accountable to constituents because they face greater competition to be elected.
1481275788944,Fri Dec 09 16:29:48 WIB 2016,23,0,54,72,1,I would like Canada to implement an online voting system.
1481275539759,Fri Dec 09 16:25:39 WIB 2016,0,0,119,7,1,Many Canadians don’t vote because they feel a sense of apathy towards their government and politics in general.
1481275548897,Fri Dec 09 16:25:48 WIB 2016,1,0,126,3,1,It’s important to increase voter education.
1481275557363,Fri Dec 09 16:25:57 WIB 2016,2,0,120,13,1,It is important to support increased youth participation in politics.
1481275564466,Fri Dec 09 16:26:04 WIB 2016,3,0,51,30,1,Voting is too hard for people with disabilities.
1481275574205,Fri Dec 09 16:26:14 WIB 2016,4,0,108,14,1,"I prefer to vote based on my principles, rather than try to vote strategically to minimize downside effects of my vote."
1481275582602,Fri Dec 09 16:26:22 WIB 2016,5,0,117,15,1,I always vote.
1481275589617,Fri Dec 09 16:26:29 WIB 2016,6,0,45,76,1,I think mandatory voting should be implemented.
1481275597216,Fri Dec 09 16:26:37 WIB 2016,7,0,50,65,1,I think there should be incentives for voting.
1481275604414,Fri Dec 09 16:26:44 WIB 2016,8,0,106,26,1,I think there should be a voting holiday.
1481275611311,Fri Dec 09 16:26:51 WIB 2016,9,0,48,81,1,I always feel like my vote is important.
